country_code,country_name,year,variant,population,last_updated
909,Oceania,2024,Medium,53318188.0,2025-07-02
909,Oceania,2024,Medium,53745834.0,2025-07-02
909,Oceania,2024,Medium,54175244.0,2025-07-02
909,Oceania,2024,Medium,54603854.0,2025-07-02
909,Oceania,2024,Medium,55025957.0,2025-07-02
909,Oceania,2024,Medium,55444995.0,2025-07-02
909,Oceania,2024,Medium,55864683.0,2025-07-02
909,Oceania,2024,Medium,56283762.0,2025-07-02
909,Oceania,2024,Medium,56685646.0,2025-07-02
909,Oceania,2024,Medium,57097164.0,2025-07-02
909,Oceania,2024,Medium,57492006.0,2025-07-02
909,Oceania,2024,Medium,57884350.0,2025-07-02
909,Oceania,2024,Medium,58273214.0,2025-07-02
909,Oceania,2024,Medium,58651669.0,2025-07-02
909,Oceania,2024,Medium,59026625.0,2025-07-02
909,Oceania,2024,Medium,59403211.0,2025-07-02
909,Oceania,2024,Medium,59774802.0,2025-07-02
909,Oceania,2024,Medium,60134904.0,2025-07-02
909,Oceania,2024,Medium,60492976.0,2025-07-02
909,Oceania,2024,Medium,60854776.0,2025-07-02
909,Oceania,2024,Medium,61201675.0,2025-07-02
909,Oceania,2024,Medium,61545004.0,2025-07-02
909,Oceania,2024,Medium,61884001.0,2025-07-02
909,Oceania,2024,Medium,62222798.0,2025-07-02
909,Oceania,2024,Medium,62559506.0,2025-07-02
909,Oceania,2024,Medium,62886151.0,2025-07-02
909,Oceania,2024,Medium,63217383.0,2025-07-02
909,Oceania,2024,Medium,63554363.0,2025-07-02
909,Oceania,2024,Medium,63888024.0,2025-07-02
909,Oceania,2024,Medium,64218306.0,2025-07-02
909,Oceania,2024,Medium,64541967.0,2025-07-02
909,Oceania,2024,Medium,64856285.0,2025-07-02
909,Oceania,2024,Medium,65161870.0,2025-07-02
909,Oceania,2024,Medium,65468168.0,2025-07-02
909,Oceania,2024,Medium,65769541.0,2025-07-02
909,Oceania,2024,Medium,66070868.0,2025-07-02
909,Oceania,2024,Medium,66367444.0,2025-07-02
909,Oceania,2024,Medium,66658789.99999999,2025-07-02
909,Oceania,2024,Medium,66954740.99999999,2025-07-02
909,Oceania,2024,Medium,67245992.0,2025-07-02
909,Oceania,2024,Medium,67530599.0,2025-07-02
909,Oceania,2024,Medium,67814860.0,2025-07-02
909,Oceania,2024,Medium,68102661.0,2025-07-02
909,Oceania,2024,Medium,68377808.0,2025-07-02
909,Oceania,2024,Medium,68658575.0,2025-07-02
909,Oceania,2024,Medium,68922894.0,2025-07-02
909,Oceania,2024,Medium,69187770.0,2025-07-02
909,Oceania,2024,Medium,69457092.0,2025-07-02
909,Oceania,2024,Medium,69729524.0,2025-07-02
909,Oceania,2024,Medium,70013296.0,2025-07-02
909,Oceania,2024,Medium,70283691.0,2025-07-02
909,Oceania,2024,Medium,70564725.0,2025-07-02
909,Oceania,2024,Medium,70841158.0,2025-07-02
909,Oceania,2024,Medium,71111052.0,2025-07-02
909,Oceania,2024,Medium,71371927.0,2025-07-02
909,Oceania,2024,Medium,71618351.0,2025-07-02
909,Oceania,2024,Medium,71866709.0,2025-07-02
909,Oceania,2024,Medium,72119778.0,2025-07-02
909,Oceania,2024,Medium,72373287.0,2025-07-02
909,Oceania,2024,Medium,72607906.0,2025-07-02
909,Oceania,2024,Medium,72834363.0,2025-07-02
927,Australia/New Zealand,2024,Medium,31775761.0,2025-07-02
927,Australia/New Zealand,2024,Medium,32078537.0,2025-07-02
927,Australia/New Zealand,2024,Medium,32373313.0,2025-07-02
927,Australia/New Zealand,2024,Medium,32655837.0,2025-07-02
927,Australia/New Zealand,2024,Medium,32934446.000000004,2025-07-02
927,Australia/New Zealand,2024,Medium,33206888.0,2025-07-02
927,Australia/New Zealand,2024,Medium,33467447.999999996,2025-07-02
927,Australia/New Zealand,2024,Medium,33724329.0,2025-07-02
927,Australia/New Zealand,2024,Medium,33976224.0,2025-07-02
927,Australia/New Zealand,2024,Medium,34219852.0,2025-07-02
927,Australia/New Zealand,2024,Medium,34460603.0,2025-07-02
927,Australia/New Zealand,2024,Medium,34697511.0,2025-07-02
927,Australia/New Zealand,2024,Medium,34936030.0,2025-07-02
927,Australia/New Zealand,2024,Medium,35172774.0,2025-07-02
